line,reactance,limit
line_5007_5016,0.138581836043169,1262.7917553746836
line_5007_5465,0.155259823340676,1127.14285147684
line_5007_5253,0.0384433664086942,4552.15077003305
line_5007_5422,0.343134637727858,510.00388989814974
line_5007_5449,0.63338967419624,276.29121081279357
line_5007_5444,0.429456575563621,407.49172316276474
line_5007_5291,0.234276041674935,746.9820590652532
line_5007_5245,0.369673682608867,473.3904744448866
line_5007_5022,0.491438760114312,356.0972682726405
line_5007_5323,0.454588197646163,384.9637999977607
line_5007_5385,0.306076817436602,571.7518937423215
line_5007_5364,0.245582179355307,712.5924220536008
line_5007_5351,0.324553710460284,539.2019698428774
line_5007_5307,0.467716200379379,374.15851719066416
line_5007_5305,0.589182662784903,297.0216387101812
line_5007_5103,0.268096001827399,652.7512488331158
line_5007_5206,0.440039349890589,397.69170653377216
line_5007_5067,0.537510222500061,325.5752033627233
line_5007_5057,0.660325526335949,265.02080113584236
line_5007_5084,0.446502172433121,391.93538308307393
line_5010_5305,0.0106582664451471,16419.180445585564
line_5010_5412,0.0340584945597833,5138.218886710343
line_5010_5351,0.117474581588863,1489.6839608457956
line_5010_5126,0.0300652867273711,5820.666258295882
line_5010_5161,0.0564318515009229,3101.085563303519
line_5010_5053,0.0860332880289744,2034.0963830309877
line_5010_5084,0.0726716935753124,2408.09029472584
line_5011_8001,0.381507309495846,458.70680756093213
line_5011_8087,0.322217778779624,543.1109377725821
line_5016_5480,0.157473924407206,1111.2950963708374
line_5016_5251,0.550830106256898,317.702315127966
line_5016_5463,0.200173296671537,874.2424834375203
line_5016_5098,0.69132595089532,253.13674363498376
line_5016_5465,0.269620830616158,649.0596427585981
line_5016_5335,0.216052682850053,809.9876275151613
line_5016_5253,0.264663826463259,661.2161636841358
line_5016_5422,0.366625540421431,477.3262653737651
line_5016_5449,0.190828040993131,917.0560002043896
line_5016_5444,0.253557010700635,690.1800881641398
line_5016_5379,0.0345815226854357,5060.505912126962
line_5016_5440,0.223010557270443,784.7162131781007
line_5016_5291,0.10493434153878,1667.7095165773374
line_5016_5447,0.359285383229591,487.0779835988242
line_5016_5441,0.476061130096056,367.59984997029653
line_5016_5373,0.100222231483954,1746.1195725622836
line_5016_5245,0.0484076283214714,3615.132698463107
line_5016_5022,0.131877639852447,1326.98765458497
line_5016_5323,0.134236072828945,1303.673418865582
line_5016_5385,0.166059037965974,1053.8420681195205
line_5016_5364,0.0921216530836217,1899.6619594000017
line_5016_5351,0.246234139242053,710.7056744392846
line_5016_5305,0.416099481792695,420.5725016672498
line_5016_5103,0.254360827824628,687.9990189395663
line_5016_5302,0.781709027260075,223.86846498803118
line_5016_5117,0.343171059511383,509.94976164123557
line_5016_5206,0.262938094780816,665.555898797697
line_5016_5067,0.115380991131577,1516.714306955773
line_5016_5057,0.393305690838267,444.9465239798998
line_5016_5084,0.451501200655137,387.5958685072633
line_5016_5262,0.327408129609714,534.5010834294441
line_5022_5030,0.0476885646247825,3669.64284576217
line_5022_5291,0.0332750138033407,5259.201424656677
line_5022_5480,0.0894339751636311,1956.7507726209724
line_5022_5098,0.505081028807067,346.4790598318973
line_5022_5465,0.672126606277261,260.36761283604096
line_5022_5449,0.15060618890376,1161.9708411307588
line_5022_5444,0.154421007335657,1133.2654994252919
line_5022_5379,0.333885571822007,524.1316629677301
line_5022_5440,0.486368820019261,359.8092492710978
line_5022_5323,0.180296189360727,970.6250621296788
line_5022_5415,0.298736898636351,585.7997482025999
line_5022_5385,0.211706433498266,826.6163531654477
line_5022_5364,0.236949450208295,738.5541508797038
line_5022_5351,0.298888833287259,585.5019676556777
line_5022_5103,0.536136971071264,326.4091257320488
line_5022_5117,0.237888744758469,735.6379982486325
line_5022_5206,0.433046624637014,404.11352968444805
line_5022_5067,0.278505357649164,628.3541597804708
line_5022_5057,0.283055956912852,618.2523127534088
line_5022_5319,0.186297491627627,939.3577899040718
line_5022_5262,0.0787922024028634,2221.0319633563167
line_5030_5291,0.105044551016269,1665.9598075953174
line_5037_5465,0.646211326850622,270.8092426248247
line_5037_5449,0.426571492850862,410.24776135517226
line_5037_5444,0.1219181125389,1435.3896755427816
line_5037_5323,0.268589646522066,651.5515481183035
line_5037_5385,0.0469435516989036,3727.8815442523764
line_5037_5382,0.572751552212708,305.54260276366506
line_5037_5351,0.11841224972814,1477.8876374849606
line_5037_5103,0.28926503207393,604.9815241936111
line_5037_5329,0.562767031162952,310.9634898802874
line_5037_5048,0.725740058582032,241.1331687297503
line_5048_5444,0.0223794746845771,7819.665227468539
line_5048_5385,0.243233389625204,719.4735898293233
line_5048_5351,0.670766788356607,260.895445388335
line_5048_5262,0.334866030186238,522.5970514317996
line_5053_5203,0.0344110993320678,5085.568418237573
line_5053_5103,0.0121199838548006,14438.963128707826
line_5053_5126,0.421916672799628,414.77384346721243
line_5053_5084,0.00888940952137158,19686.346947935257
line_5057_5415,0.423817639509912,412.91344126772054
line_5057_5364,0.193651328667682,903.6860278935195
line_5057_5206,0.263175454127388,664.9556303806836
line_5057_5262,0.679435531087793,257.56674767924
line_5067_5480,0.508093471610249,344.424815074656
line_5067_5465,0.572338061370235,305.7633447984087
line_5067_5449,0.243086479994007,719.9084046316126
line_5067_5444,0.299736800904941,583.845558742384
line_5067_5440,0.446538488160494,391.9035080736463
line_5067_5323,0.132053748876032,1325.2179623032484
line_5067_5385,0.179881964601425,972.8601774377868
line_5067_5364,0.378858306957177,461.91411613888823
line_5067_5351,0.347481000144975,503.62465840430696
line_5067_5305,0.436909775543129,400.54036278418107
line_5067_5103,0.352827598030224,495.9929466317119
line_5067_5117,0.74806102618864,233.9381332183852
line_5067_5084,0.627455553754079,278.9042171241796
line_5067_5262,0.365394064831609,478.93498237484596
line_5084_5351,0.196390684092546,891.0809634816183
line_5084_5126,0.352833371274779,495.98483093514926
line_5084_5161,0.654198742395025,267.50280711229146
line_5084_8129,0.44593351482043,392.43518189134
line_5084_5465,0.169303288023643,1033.6479701183446
line_5084_5449,0.458992971396628,381.26945488404414
line_5084_5444,0.152572375328243,1146.9966278201175
line_5084_5323,0.267368704481364,654.5268652120717
line_5084_5385,0.184768882688687,947.1291781032935
line_5084_5305,0.20221956458027,865.3959885792092
line_5084_5103,0.15477452726693,1130.677011845679
line_5084_5234,0.318688458392861,549.1256284665005
line_5084_5302,0.233534516272499,749.3538976302835
line_5098_5480,0.610894804715565,286.46503235770797
line_5098_5444,0.232110956069881,753.949761627423
line_5098_5440,0.765344181897396,228.6552954072903
line_5098_5291,0.209435298717153,835.5802535289974
line_5098_5447,0.481936113108457,363.1186691349217
line_5098_5441,0.117778178955585,1485.8439954823361
line_5098_5373,0.219800788026651,796.1754895017989
line_5098_5287,0.384176801390503,455.5194362767322
line_5098_5117,0.250949809572192,697.3505989039489
line_5098_5319,0.707482082114304,247.3560877711758
