Generator,Type,Time,Value
MONAHANS,Gas,12,0.0
MONAHANS,Gas,13,0.0
MONAHANS,Gas,14,0.0
MONAHANS,Gas,15,0.0
MONAHANS,Gas,16,0.0
MONAHANS,Gas,17,0.0
MONAHANS,Gas,18,0.0
MONAHANS,Gas,19,0.0
MONAHANS,Gas,20,0.0
MONAHANS,Gas,21,0.0
MONAHANS,Gas,22,0.0
MONAHANS,Gas,23,0.0
MONAHANS,Gas,24,0.0
ODESSA_2,Gas,1,0.0
ODESSA_2,Gas,2,0.0
ODESSA_2,Gas,3,0.0
ODESSA_2,Gas,4,0.0
ODESSA_2,Gas,5,0.0
ODESSA_2,Gas,6,0.0
ODESSA_2,Gas,7,0.0
ODESSA_2,Gas,8,0.0
ODESSA_2,Gas,9,0.0
ODESSA_2,Gas,10,0.0
ODESSA_2,Gas,11,0.0
ODESSA_2,Gas,12,0.0
ODESSA_2,Gas,13,0.0
ODESSA_2,Gas,14,0.0
ODESSA_2,Gas,15,0.0
ODESSA_2,Gas,16,0.0
ODESSA_2,Gas,17,0.0
ODESSA_2,Gas,18,42.44918696583929
ODESSA_2,Gas,19,163.03489211483392
ODESSA_2,Gas,20,226.78968827297388
ODESSA_2,Gas,21,242.17509703792098
ODESSA_2,Gas,22,199.47978869948565
ODESSA_2,Gas,23,152.8778408076211
ODESSA_2,Gas,24,120.79012432812414
SAVOY,Gas,1,0.0
SAVOY,Gas,2,0.0
SAVOY,Gas,3,0.0
SAVOY,Gas,4,0.0
SAVOY,Gas,5,0.0
SAVOY,Gas,6,0.0
SAVOY,Gas,7,0.0
SAVOY,Gas,8,0.0
SAVOY,Gas,9,0.0
SAVOY,Gas,10,0.0
SAVOY,Gas,11,0.0
SAVOY,Gas,12,0.0
SAVOY,Gas,13,0.0
SAVOY,Gas,14,0.0
SAVOY,Gas,15,0.0
SAVOY,Gas,16,0.0
SAVOY,Gas,17,0.0
SAVOY,Gas,18,0.0
SAVOY,Gas,19,0.0
SAVOY,Gas,20,0.0
SAVOY,Gas,21,0.0
SAVOY,Gas,22,0.0
SAVOY,Gas,23,0.0
SAVOY,Gas,24,0.0
SHERMAN,Gas,1,0.0
SHERMAN,Gas,2,0.0
SHERMAN,Gas,3,0.0
SHERMAN,Gas,4,0.0
SHERMAN,Gas,5,0.0
SHERMAN,Gas,6,0.0
SHERMAN,Gas,7,0.0
SHERMAN,Gas,8,0.0
SHERMAN,Gas,9,0.0
SHERMAN,Gas,10,0.0
SHERMAN,Gas,11,0.0
SHERMAN,Gas,12,0.0
SHERMAN,Gas,13,0.0
SHERMAN,Gas,14,0.0
SHERMAN,Gas,15,0.0
SHERMAN,Gas,16,0.0
SHERMAN,Gas,17,0.0
SHERMAN,Gas,18,0.0
SHERMAN,Gas,19,0.0
SHERMAN,Gas,20,0.0
SHERMAN,Gas,21,0.0
SHERMAN,Gas,22,0.0
SHERMAN,Gas,23,0.0
SHERMAN,Gas,24,0.0
PARIS,Gas,1,0.0
PARIS,Gas,2,0.0
PARIS,Gas,3,0.0
PARIS,Gas,4,0.0
PARIS,Gas,5,0.0
PARIS,Gas,6,0.0
PARIS,Gas,7,0.0
PARIS,Gas,8,0.0
PARIS,Gas,9,0.0
PARIS,Gas,10,585.0188507504006
PARIS,Gas,11,1358.3200000000004
PARIS,Gas,12,1358.3200000000004
PARIS,Gas,13,1358.3200000000004
PARIS,Gas,14,1358.3200000000004
PARIS,Gas,15,1358.3200000000004
PARIS,Gas,16,1358.3200000000004
PARIS,Gas,17,1358.3200000000004
PARIS,Gas,18,1358.3200000000004
PARIS,Gas,19,1358.3200000000004
PARIS,Gas,20,1358.3200000000004
PARIS,Gas,21,1358.3200000000004
PARIS,Gas,22,1358.3200000000004
PARIS,Gas,23,1358.3200000000004
PARIS,Gas,24,1358.3200000000004
DENTON,Gas,1,128.1
DENTON,Gas,2,128.1
DENTON,Gas,3,128.1
DENTON,Gas,4,128.1
DENTON,Gas,5,128.1
DENTON,Gas,6,128.1
DENTON,Gas,7,128.1
DENTON,Gas,8,128.1
DENTON,Gas,9,128.1
DENTON,Gas,10,128.1
DENTON,Gas,11,128.1
DENTON,Gas,12,128.1
DENTON,Gas,13,128.1
DENTON,Gas,14,128.1
DENTON,Gas,15,128.1
DENTON,Gas,16,128.1
DENTON,Gas,17,128.1
DENTON,Gas,18,128.1
DENTON,Gas,19,128.1
DENTON,Gas,20,128.1
DENTON,Gas,21,128.1
DENTON,Gas,22,128.1
DENTON,Gas,23,128.1
DENTON,Gas,24,128.1
POOLVILLE,Gas,1,0.0
POOLVILLE,Gas,2,0.0
POOLVILLE,Gas,3,0.0
POOLVILLE,Gas,4,0.0
POOLVILLE,Gas,5,0.0
POOLVILLE,Gas,6,0.0
POOLVILLE,Gas,7,0.0
POOLVILLE,Gas,8,0.0
POOLVILLE,Gas,9,0.0
POOLVILLE,Gas,10,0.0
POOLVILLE,Gas,11,289.89511951517943
POOLVILLE,Gas,12,746.01
POOLVILLE,Gas,13,746.01
POOLVILLE,Gas,14,746.01
POOLVILLE,Gas,15,746.01
POOLVILLE,Gas,16,746.01
POOLVILLE,Gas,17,746.01
POOLVILLE,Gas,18,746.01
POOLVILLE,Gas,19,746.01
POOLVILLE,Gas,20,746.01
POOLVILLE,Gas,21,746.01
POOLVILLE,Gas,22,746.01
POOLVILLE,Gas,23,746.01
POOLVILLE,Gas,24,746.01
BRIDGEPORT,Gas,1,1206.699602702904
BRIDGEPORT,Gas,2,943.3964391129304
BRIDGEPORT,Gas,3,1058.1985650837653
BRIDGEPORT,Gas,4,1290.38
BRIDGEPORT,Gas,5,1290.38
BRIDGEPORT,Gas,6,1290.38
BRIDGEPORT,Gas,7,1290.38
BRIDGEPORT,Gas,8,1290.38
BRIDGEPORT,Gas,9,1290.38
BRIDGEPORT,Gas,10,1290.38
BRIDGEPORT,Gas,11,1290.38
BRIDGEPORT,Gas,12,1290.38
BRIDGEPORT,Gas,13,1290.38
BRIDGEPORT,Gas,14,1290.38
BRIDGEPORT,Gas,15,1290.38
BRIDGEPORT,Gas,16,1290.38
BRIDGEPORT,Gas,17,1290.38
BRIDGEPORT,Gas,18,1290.38
BRIDGEPORT,Gas,19,1290.38
BRIDGEPORT,Gas,20,1290.38
BRIDGEPORT,Gas,21,1290.38
BRIDGEPORT,Gas,22,1290.38
BRIDGEPORT,Gas,23,1290.38
BRIDGEPORT,Gas,24,1290.38
BASTROP,Gas,1,0.0
BASTROP,Gas,2,0.0
BASTROP,Gas,3,0.0
BASTROP,Gas,4,0.0
BASTROP,Gas,5,0.0
BASTROP,Gas,6,0.0
BASTROP,Gas,7,0.0
BASTROP,Gas,8,0.0
BASTROP,Gas,9,0.0
BASTROP,Gas,10,0.0
BASTROP,Gas,11,0.0
BASTROP,Gas,12,278.1043658424426
BASTROP,Gas,13,193.86946768549728
BASTROP,Gas,14,348.80646062011147
BASTROP,Gas,15,273.4722967647251
BASTROP,Gas,16,107.8489716688548
BASTROP,Gas,17,398.16490989015074
BASTROP,Gas,18,47.77288107374966
BASTROP,Gas,19,520.8983990007773
BASTROP,Gas,20,768.8195011248272
BASTROP,Gas,21,377.4366335987552
BASTROP,Gas,22,146.4628911813918
BASTROP,Gas,23,615.8027666344951
BASTROP,Gas,24,263.0940671918131
MARION,Gas,1,990.9533602794368
MARION,Gas,2,1044.1252164174846
MARION,Gas,3,1043.0963501700942
MARION,Gas,4,1045.0685740400054
MARION,Gas,5,1088.22
MARION,Gas,6,1088.22
MARION,Gas,7,1088.22
MARION,Gas,8,1088.22
MARION,Gas,9,1088.22
MARION,Gas,10,1088.22
MARION,Gas,11,1088.22
MARION,Gas,12,1088.22
MARION,Gas,13,1088.22
MARION,Gas,14,1088.22
MARION,Gas,15,1088.22
MARION,Gas,16,1088.22
MARION,Gas,17,1088.22
MARION,Gas,18,1088.22
MARION,Gas,19,1088.22
MARION,Gas,20,1088.22
MARION,Gas,21,1088.22
MARION,Gas,22,1088.22
MARION,Gas,23,1088.22
MARION,Gas,24,1088.22
CEDARCREEK,Gas,1,0.0
CEDARCREEK,Gas,2,0.0
CEDARCREEK,Gas,3,0.0
CEDARCREEK,Gas,4,0.0
CEDARCREEK,Gas,5,0.0
CEDARCREEK,Gas,6,0.0
CEDARCREEK,Gas,7,0.0
CEDARCREEK,Gas,8,0.0
CEDARCREEK,Gas,9,0.0
CEDARCREEK,Gas,10,618.6899999999998
CEDARCREEK,Gas,11,618.6899999999998
CEDARCREEK,Gas,12,618.6899999999998
CEDARCREEK,Gas,13,618.6899999999998
CEDARCREEK,Gas,14,618.6899999999998
CEDARCREEK,Gas,15,618.6899999999998
CEDARCREEK,Gas,16,618.6899999999998
CEDARCREEK,Gas,17,618.6899999999998
CEDARCREEK,Gas,18,618.6899999999998
CEDARCREEK,Gas,19,618.6899999999998
CEDARCREEK,Gas,20,618.6899999999998
CEDARCREEK,Gas,21,618.6899999999998
CEDARCREEK,Gas,22,618.6899999999998
CEDARCREEK,Gas,23,618.6899999999998
CEDARCREEK,Gas,24,618.6899999999998
NEWBRAUNFELS,Gas,1,0.0
NEWBRAUNFELS,Gas,2,0.0
NEWBRAUNFELS,Gas,3,0.0
NEWBRAUNFELS,Gas,4,0.0
NEWBRAUNFELS,Gas,5,16.50743808371726
NEWBRAUNFELS,Gas,6,157.31465340977252
NEWBRAUNFELS,Gas,7,290.3383924596019
NEWBRAUNFELS,Gas,8,328.73487894500386
NEWBRAUNFELS,Gas,9,310.2070717858992
NEWBRAUNFELS,Gas,10,992.2
NEWBRAUNFELS,Gas,11,992.2
NEWBRAUNFELS,Gas,12,992.2
NEWBRAUNFELS,Gas,13,992.2
NEWBRAUNFELS,Gas,14,992.2
NEWBRAUNFELS,Gas,15,992.2
NEWBRAUNFELS,Gas,16,992.2
NEWBRAUNFELS,Gas,17,992.2
NEWBRAUNFELS,Gas,18,992.2
NEWBRAUNFELS,Gas,19,992.2
NEWBRAUNFELS,Gas,20,992.2
NEWBRAUNFELS,Gas,21,992.2
NEWBRAUNFELS,Gas,22,992.2
NEWBRAUNFELS,Gas,23,992.2
NEWBRAUNFELS,Gas,24,992.2
MISSION,Gas,1,0.0
MISSION,Gas,2,0.0
MISSION,Gas,3,0.0
MISSION,Gas,4,0.0
MISSION,Gas,5,0.0
MISSION,Gas,6,0.0
MISSION,Gas,7,0.0
MISSION,Gas,8,0.0
MISSION,Gas,9,0.0
MISSION,Gas,10,0.0
MISSION,Gas,11,0.0
MISSION,Gas,12,0.0
MISSION,Gas,13,0.0
MISSION,Gas,14,0.0
MISSION,Gas,15,0.0
MISSION,Gas,16,0.0
MISSION,Gas,17,0.0
MISSION,Gas,18,0.0
