Line,Time,Value
line_7343_7012,23,16.71832264106938
line_7343_7012,24,17.93183352985503
line_1001_5016,1,69.72915298804486
line_1001_5016,2,69.72915298804486
line_1001_5016,3,69.72915298804486
line_1001_5016,4,69.72915298804486
line_1001_5016,5,69.72915298804486
line_1001_5016,6,69.72915298804486
line_1001_5016,7,69.72915298804486
line_1001_5016,8,67.14081890174361
line_1001_5016,9,62.585335792479675
line_1001_5016,10,58.2356527017382
line_1001_5016,11,39.61545837684875
line_1001_5016,12,22.88213819898244
line_1001_5016,13,69.72915298804486
line_1001_5016,14,69.72915298804486
line_1001_5016,15,69.72915298804486
line_1001_5016,16,69.72915298804486
line_1001_5016,17,69.72915298804486
line_1001_5016,18,69.72915298804486
line_1001_5016,19,69.72915298804486
line_1001_5016,20,69.72915298804486
line_1001_5016,21,69.72915298804486
line_1001_5016,22,69.72915298804486
line_1001_5016,23,69.72915298804486
line_1001_5016,24,69.72915298804486
line_1001_5444,1,77.80421813890128
line_1001_5444,2,77.80421813890128
line_1001_5444,3,77.80421813890128
line_1001_5444,4,77.80421813890128
line_1001_5444,5,77.80421813890128
line_1001_5444,6,77.80421813890128
line_1001_5444,7,77.80421813890128
line_1001_5444,8,74.91613903228337
line_1001_5444,9,69.83310293657718
line_1001_5444,10,64.97969976839065
line_1001_5444,11,46.36184405072566
line_1001_5444,12,27.429935773782173
line_1001_5444,13,71.73541789121722
line_1001_5444,14,71.70335657858384
line_1001_5444,15,71.70006455326954
line_1001_5444,16,71.78648734213157
line_1001_5444,17,74.26322423905779
line_1001_5444,18,73.38640599463666
line_1001_5444,19,71.66103343774036
line_1001_5444,20,71.24413139116622
line_1001_5444,21,71.54610042022205
line_1001_5444,22,72.96835487668709
line_1001_5444,23,73.49813379322553
line_1001_5444,24,73.95819704983575
line_1001_5008,1,52.97052846127032
line_1001_5008,2,52.62894427383677
line_1001_5008,3,52.75388851446432
line_1001_5008,4,53.04880749495184
line_1001_5008,5,53.371209378591814
line_1001_5008,6,53.66611109266037
line_1001_5008,7,54.117070667949875
line_1001_5008,8,51.28213774104556
line_1001_5008,9,46.921454116730246
line_1001_5008,10,42.785146215807195
line_1001_5008,11,26.576000488448756
line_1001_5008,12,11.0577064701697
line_1001_5008,13,50.9478689058323
line_1001_5008,14,52.6223788411343
line_1001_5008,15,53.886393378720676
line_1001_5008,16,55.34328938147685
line_1001_5008,17,59.49722844043984
line_1001_5008,18,59.84142037024505
line_1001_5008,19,60.49067802167968
line_1001_5008,20,61.40493502796185
line_1001_5008,21,61.72841130510553
line_1001_5008,22,61.39498352463366
line_1001_5008,23,62.335857289526146
line_1001_5008,24,63.47541069889277
