UnitID,AliasID,CommercialDT_grp,ID_SK,NERCID_AliasID,RatingMW_grp,RegionCode,StateName,UnitRetireDT_grp,UnitTimeZoneCode,UnitTypeCode,UnitTypeCodeDesc,RatingMW_BrochureGroup
8999,0x62C7973F4407E46EA2A58F566330ADCE,1,16221,0xE2FC5DB2615C2E890A30A73161D68502,2,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9000,0xF4CD17488308914358C3254B37B4B4F4,1,16222,0xE2FC5DB2615C2E890A30A73161D68502,2,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9025,0xC7209AE7410D6343CC298C08DFFED0EE,2,16247,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9026,0x46B1789EB033CCC676DD2519C12BC64B,2,16248,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9057,0xDBB6BA85E24E35474465ADB7ED29DB28,1,16279,0x6DC65E72B8EFE4D47FADD7560B1C873E,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
9064,0x6EF8AF68C01C034FEABB1E48D201BC7B,1,16286,0x6DC65E72B8EFE4D47FADD7560B1C873E,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
4450,0x67D5B196B35578943DF01572996F41A2,1,11940,0xF074C7196E9E0B1908E2C3D3D5E4FA00,1,WECC,Idaho,,MPT,500,Pumped Storage/Hydro,30+
12256,0x27B5E557A7A94D17574AE53388EC1108,5,11949,0x26FAB50E425A52CBE60D72A194B91933,3,WECC,California,,PST,850,Combined Cycle Block,All
12260,0xA5150348140D0C48C2F16F01167C41D0,2,11953,0x26FAB50E425A52CBE60D72A194B91933,1,WECC,California,,PST,830,Geothermal,All
10786,0x76784746E6C5E3121DC6B0581095589A,4,12033,0x1C08CD94F9DAE61FF74C0E924E088233,1,WECC,New Mexico,,MPT,850,Combined Cycle Block,All
7396,0x69D2674269347F405DC0303ACA7222C9,1,12081,0x0D01C82FB9CF2CBF66F3ABD6FB41A551,3,WECC,New Mexico,Retired,MST,100,Fossil-Steam,300-399
12211,0x9E75DE798F85C32BD74EED5C5AFCFB07,5,12140,0x2F17519D6654995EF0BFC93EBF76349C,3,SERC,Virginia,,EPT,851,CC GT units ,All
10416,0x7C467CA20DCB68DD4DFCC7D1BB1A3B94,2,12164,0xA6F46509FB5C5B2D3D1940ADD50D0835,2,SERC,Louisiana,Retired,CPT,851,CC GT units ,All
11983,0x49DB5D9765C7461786A69D67AFEE85DF,5,12210,0xCF0E398F6F1BAC73B41A0CB6B3967BE5,3,SERC,Kentucky,,EST,850,Combined Cycle Block,All
10399,0x93232F4931F8B360A1A2230BC0857FDB,1,12348,0xD5A0C098233F4294E5B35E8F41EE29F1,1,NPCC,Connecticut,,EPT,500,Pumped Storage/Hydro,30+
12301,0x9E7900C3EF307AA963008B332B729717,4,12375,0xE185D7FA5F9B2D519B8F6AE707817121,1,WECC,California,,PPT,852,CC steam units,All
5812,0x203AD1CD006D2141CB0715D16C110659,1,12410,0x4CFF303B3B1E4753DFE66E2561024CAF,3,TRE,Texas,Retired,CPT,100,Fossil-Steam,200-299
5288,0x851A4A48E9041CB09B8F40D1DC8972A3,4,12566,0xB135DAB6216C01F3B62F533A5FBACDE5,1,MRO,Iowa,,CPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
1086,0x7F758613BCB41DA59B7A00FC30486964,5,12730,0xACA7783C349A082F7B7AE801309E8A87,1,WECC,Colorado,,MPT,851,CC GT units ,All
1088,0x985EB33D71EDB6947CE5A7B716F30B5B,1,12732,0xACA7783C349A082F7B7AE801309E8A87,1,WECC,South Dakota,Retired,MPT,100,Fossil-Steam,<100
1660,0x4534369187DC0AF5B03C017D52D74E40,1,12810,0xEAEC3B502BC8607550DB2D121E06BD6A,3,TRE,Texas,,CPT,100,Fossil-Steam,400-599
1664,0xE605CD83AF2039B6A85FE59F141DB9AA,2,12813,0xEAEC3B502BC8607550DB2D121E06BD6A,1,TRE,Texas,,CPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
2843,0xFC9461DBC63D11DCE0E8B46D0F31740F,1,13094,0x3EB7A81A4A916415991F1222F16BEB36,3,RFC,Illinois,,EPT,100,Fossil-Steam,300-399
2861,0xDC261CFEF47F137F1DAAF3FDFAC5E993,1,13112,0x3EB7A81A4A916415991F1222F16BEB36,3,RFC,Illinois,,CPT,810,Multi-boiler/Multi-turbine,All
4518,0x780C893A69ECC284DAD9F0E4A6A491BD,1,13649,0x1521DD6F9E7C099C891D31F85A3D1153,3,RFC,Indiana,,EPT,100,Fossil-Steam,400-599
4874,0x43D4348609585A5668D9C908E742BE33,4,13727,0xC333CE003CAD6A972EF5A1098482453B,1,WECC,California,,PPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
5075,0x37777212AE11AA81548EB0DD4719C602,4,13778,0x7E333A614B2BFEB4EA7AC7868604BC70,2,SERC,Georgia,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
6400,0x3F5F0A32A41BB3024715A4D46B63D627,1,14071,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,30+
6407,0xDC5707F278D48957A4AAED2F8531089F,1,14078,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,30+
6426,0xE0460B4354AE63BD069E13F53E745D14,1,14097,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,30+
6532,0x14E452CC21845A89979420C9993C4385,2,14197,0x3BEFB7FA0B47F076D545DB95652622BE,2,WECC,California,,PST,500,Pumped Storage/Hydro,30+
