Generator,Type,Time,Value
ROCKDALE_C,Coal,21,1252.1
ROCKDALE_C,Coal,22,1252.1
ROCKDALE_C,Coal,23,1252.1
ROCKDALE_C,Coal,24,1252.1
PASADENA_C,Coal,1,0.0
PASADENA_C,Coal,2,0.0
PASADENA_C,Coal,3,0.0
PASADENA_C,Coal,4,0.0
PASADENA_C,Coal,5,0.0
PASADENA_C,Coal,6,0.0
PASADENA_C,Coal,7,0.0
PASADENA_C,Coal,8,0.0
PASADENA_C,Coal,9,0.0
PASADENA_C,Coal,10,0.0
PASADENA_C,Coal,11,0.0
PASADENA_C,Coal,12,0.0
PASADENA_C,Coal,13,0.0
PASADENA_C,Coal,14,0.0
PASADENA_C,Coal,15,0.0
PASADENA_C,Coal,16,0.0
PASADENA_C,Coal,17,0.0
PASADENA_C,Coal,18,0.0
PASADENA_C,Coal,19,0.0
PASADENA_C,Coal,20,0.0
PASADENA_C,Coal,21,0.0
PASADENA_C,Coal,22,0.0
PASADENA_C,Coal,23,0.0
PASADENA_C,Coal,24,0.0
TRINIDAD_C,Coal,1,243.3
TRINIDAD_C,Coal,2,243.3
TRINIDAD_C,Coal,3,243.3
TRINIDAD_C,Coal,4,243.3
TRINIDAD_C,Coal,5,243.3
TRINIDAD_C,Coal,6,243.3
TRINIDAD_C,Coal,7,243.3
TRINIDAD_C,Coal,8,243.3
TRINIDAD_C,Coal,9,243.3
TRINIDAD_C,Coal,10,243.3
TRINIDAD_C,Coal,11,243.3
TRINIDAD_C,Coal,12,243.3
TRINIDAD_C,Coal,13,243.3
TRINIDAD_C,Coal,14,243.3
TRINIDAD_C,Coal,15,243.3
TRINIDAD_C,Coal,16,243.3
TRINIDAD_C,Coal,17,243.3
TRINIDAD_C,Coal,18,243.3
TRINIDAD_C,Coal,19,243.3
TRINIDAD_C,Coal,20,243.3
TRINIDAD_C,Coal,21,243.3
TRINIDAD_C,Coal,22,243.3
TRINIDAD_C,Coal,23,243.3
TRINIDAD_C,Coal,24,243.3
FAIRFIELD_C,Coal,1,1186.8
FAIRFIELD_C,Coal,2,1186.8
FAIRFIELD_C,Coal,3,1186.8
FAIRFIELD_C,Coal,4,1186.8
FAIRFIELD_C,Coal,5,1186.8
FAIRFIELD_C,Coal,6,1186.8
FAIRFIELD_C,Coal,7,1186.8
FAIRFIELD_C,Coal,8,1186.8
FAIRFIELD_C,Coal,9,1186.8
FAIRFIELD_C,Coal,10,1186.8
FAIRFIELD_C,Coal,11,1186.8
FAIRFIELD_C,Coal,12,1186.8
FAIRFIELD_C,Coal,13,1186.8
FAIRFIELD_C,Coal,14,1186.8
FAIRFIELD_C,Coal,15,1186.8
FAIRFIELD_C,Coal,16,1186.8
FAIRFIELD_C,Coal,17,1186.8
FAIRFIELD_C,Coal,18,1186.8
FAIRFIELD_C,Coal,19,1186.8
FAIRFIELD_C,Coal,20,1186.8
FAIRFIELD_C,Coal,21,1186.8
FAIRFIELD_C,Coal,22,1186.8
FAIRFIELD_C,Coal,23,1186.8
FAIRFIELD_C,Coal,24,1186.8
JEWETT_C,Coal,1,1849.8
JEWETT_C,Coal,2,1849.8
JEWETT_C,Coal,3,1849.8
JEWETT_C,Coal,4,1849.8
JEWETT_C,Coal,5,1849.8
JEWETT_C,Coal,6,1849.8
JEWETT_C,Coal,7,1849.8
JEWETT_C,Coal,8,1849.8
JEWETT_C,Coal,9,1849.8
JEWETT_C,Coal,10,1849.8
JEWETT_C,Coal,11,1849.8
JEWETT_C,Coal,12,1849.8
JEWETT_C,Coal,13,1849.8
JEWETT_C,Coal,14,1849.8
JEWETT_C,Coal,15,1849.8
JEWETT_C,Coal,16,1849.8
JEWETT_C,Coal,17,1849.8
JEWETT_C,Coal,18,1849.8
JEWETT_C,Coal,19,1849.8
JEWETT_C,Coal,20,1849.8
JEWETT_C,Coal,21,1849.8
JEWETT_C,Coal,22,1849.8
JEWETT_C,Coal,23,1849.8
JEWETT_C,Coal,24,1849.8
FRANKLIN_C,Coal,1,0.0
FRANKLIN_C,Coal,2,0.0
FRANKLIN_C,Coal,3,0.0
FRANKLIN_C,Coal,4,0.0
FRANKLIN_C,Coal,5,0.0
FRANKLIN_C,Coal,6,0.0
FRANKLIN_C,Coal,7,0.0
FRANKLIN_C,Coal,8,0.0
FRANKLIN_C,Coal,9,0.0
FRANKLIN_C,Coal,10,0.0
FRANKLIN_C,Coal,11,0.0
FRANKLIN_C,Coal,12,0.0
FRANKLIN_C,Coal,13,0.0
FRANKLIN_C,Coal,14,0.0
FRANKLIN_C,Coal,15,0.0
FRANKLIN_C,Coal,16,0.0
FRANKLIN_C,Coal,17,0.0
FRANKLIN_C,Coal,18,0.0
FRANKLIN_C,Coal,19,0.0
FRANKLIN_C,Coal,20,0.0
FRANKLIN_C,Coal,21,0.0
FRANKLIN_C,Coal,22,0.0
FRANKLIN_C,Coal,23,0.0
FRANKLIN_C,Coal,24,0.0
FRANKLIN_C_34,Coal,1,0.0
FRANKLIN_C_34,Coal,2,0.0
FRANKLIN_C_34,Coal,3,0.0
FRANKLIN_C_34,Coal,4,0.0
FRANKLIN_C_34,Coal,5,0.0
FRANKLIN_C_34,Coal,6,0.0
FRANKLIN_C_34,Coal,7,0.0
FRANKLIN_C_34,Coal,8,0.0
FRANKLIN_C_34,Coal,9,0.0
FRANKLIN_C_34,Coal,10,0.0
FRANKLIN_C_34,Coal,11,0.0
FRANKLIN_C_34,Coal,12,0.0
FRANKLIN_C_34,Coal,13,0.0
FRANKLIN_C_34,Coal,14,0.0
FRANKLIN_C_34,Coal,15,0.0
FRANKLIN_C_34,Coal,16,0.0
FRANKLIN_C_34,Coal,17,0.0
FRANKLIN_C_34,Coal,18,0.0
FRANKLIN_C_34,Coal,19,0.0
FRANKLIN_C_34,Coal,20,0.0
FRANKLIN_C_34,Coal,21,0.0
FRANKLIN_C_34,Coal,22,0.0
FRANKLIN_C_34,Coal,23,0.0
FRANKLIN_C_34,Coal,24,0.0
BREMOND_C,Coal,1,0.0
BREMOND_C,Coal,2,0.0
BREMOND_C,Coal,3,0.0
BREMOND_C,Coal,4,0.0
BREMOND_C,Coal,5,0.0
BREMOND_C,Coal,6,0.0
BREMOND_C,Coal,7,0.0
BREMOND_C,Coal,8,0.0
BREMOND_C,Coal,9,0.0
BREMOND_C,Coal,10,0.0
BREMOND_C,Coal,11,0.0
BREMOND_C,Coal,12,0.0
BREMOND_C,Coal,13,0.0
BREMOND_C,Coal,14,0.0
BREMOND_C,Coal,15,0.0
BREMOND_C,Coal,16,0.0
BREMOND_C,Coal,17,0.0
BREMOND_C,Coal,18,0.0
BREMOND_C,Coal,19,0.0
BREMOND_C,Coal,20,0.0
BREMOND_C,Coal,21,0.0
BREMOND_C,Coal,22,0.0
BREMOND_C,Coal,23,0.0
BREMOND_C,Coal,24,0.0
JACKSONVILLE_C,Coal,1,322.11084611873326
JACKSONVILLE_C,Coal,2,322.11084611873326
JACKSONVILLE_C,Coal,3,322.11084611873326
JACKSONVILLE_C,Coal,4,322.11084611873326
JACKSONVILLE_C,Coal,5,235.64823847633326
JACKSONVILLE_C,Coal,6,0.22623847633326477
JACKSONVILLE_C,Coal,7,235.64823847633326
JACKSONVILLE_C,Coal,8,271.8170782493333
JACKSONVILLE_C,Coal,9,271.8170782493333
JACKSONVILLE_C,Coal,10,271.8170782493333
JACKSONVILLE_C,Coal,11,271.8170782493333
JACKSONVILLE_C,Coal,12,271.8170782493333
JACKSONVILLE_C,Coal,13,271.8170782493333
JACKSONVILLE_C,Coal,14,271.8170782493333
JACKSONVILLE_C,Coal,15,246.78537083213325
JACKSONVILLE_C,Coal,16,246.78537083213325
JACKSONVILLE_C,Coal,17,349.69350086893326
JACKSONVILLE_C,Coal,18,349.69350086893326
JACKSONVILLE_C,Coal,19,349.69350086893326
JACKSONVILLE_C,Coal,20,349.69350086893326
JACKSONVILLE_C,Coal,21,349.69350086893326
JACKSONVILLE_C,Coal,22,349.69350086893326
JACKSONVILLE_C,Coal,23,349.69350086893326
JACKSONVILLE_C,Coal,24,286.73031060093336
SNYDER_NG,Gas,1,0.0
SNYDER_NG,Gas,2,0.0
SNYDER_NG,Gas,3,0.0
SNYDER_NG,Gas,4,0.0
SNYDER_NG,Gas,5,0.0
SNYDER_NG,Gas,6,0.0
SNYDER_NG,Gas,7,45.39235873357141
SNYDER_NG,Gas,8,45.39235873357141
SNYDER_NG,Gas,9,45.39235873357141
SNYDER_NG,Gas,10,45.39235873357141
SNYDER_NG,Gas,11,45.39235873357141
SNYDER_NG,Gas,12,45.39235873357141
SNYDER_NG,Gas,13,45.39235873357141
SNYDER_NG,Gas,14,45.39235873357141
SNYDER_NG,Gas,15,45.39235873357141
SNYDER_NG,Gas,16,45.39235873357141
SNYDER_NG,Gas,17,45.39235873357141
SNYDER_NG,Gas,18,45.39235873357141
SNYDER_NG,Gas,19,45.39235873357141
SNYDER_NG,Gas,20,45.39235873357141
SNYDER_NG,Gas,21,45.39235873357141
SNYDER_NG,Gas,22,45.39235873357141
SNYDER_NG,Gas,23,45.39235873357141
SNYDER_NG,Gas,24,45.39235873357141
IRAAN_NG,Gas,1,0.0
IRAAN_NG,Gas,2,0.0
IRAAN_NG,Gas,3,0.0
IRAAN_NG,Gas,4,0.0
IRAAN_NG,Gas,5,0.0
IRAAN_NG,Gas,6,0.0
IRAAN_NG,Gas,7,0.0
IRAAN_NG,Gas,8,0.0
IRAAN_NG,Gas,9,0.0
IRAAN_NG,Gas,10,0.0
IRAAN_NG,Gas,11,0.0
IRAAN_NG,Gas,12,0.0
IRAAN_NG,Gas,13,0.0
IRAAN_NG,Gas,14,0.0
IRAAN_NG,Gas,15,0.0
IRAAN_NG,Gas,16,0.0
IRAAN_NG,Gas,17,0.0
IRAAN_NG,Gas,18,0.0
IRAAN_NG,Gas,19,0.0
IRAAN_NG,Gas,20,0.0
IRAAN_NG,Gas,21,0.0
IRAAN_NG,Gas,22,0.0
IRAAN_NG,Gas,23,0.0
IRAAN_NG,Gas,24,0.0
MONAHANS_NG,Gas,1,0.0
MONAHANS_NG,Gas,2,0.0
MONAHANS_NG,Gas,3,0.0
MONAHANS_NG,Gas,4,0.0
MONAHANS_NG,Gas,5,0.0
MONAHANS_NG,Gas,6,0.0
MONAHANS_NG,Gas,7,0.0
MONAHANS_NG,Gas,8,0.0
MONAHANS_NG,Gas,9,0.0
MONAHANS_NG,Gas,10,0.0
MONAHANS_NG,Gas,11,0.0
MONAHANS_NG,Gas,12,0.0
MONAHANS_NG,Gas,13,0.0
MONAHANS_NG,Gas,14,0.0
MONAHANS_NG,Gas,15,0.0
MONAHANS_NG,Gas,16,0.0
MONAHANS_NG,Gas,17,0.0
MONAHANS_NG,Gas,18,0.0
MONAHANS_NG,Gas,19,638.8283390382073
MONAHANS_NG,Gas,20,784.8640066604805
MONAHANS_NG,Gas,21,538.1340066604952
MONAHANS_NG,Gas,22,0.0
MONAHANS_NG,Gas,23,0.0
MONAHANS_NG,Gas,24,0.0
MONAHANS_NG_2,Gas,1,0.0
MONAHANS_NG_2,Gas,2,0.0
MONAHANS_NG_2,Gas,3,0.0
MONAHANS_NG_2,Gas,4,0.0
MONAHANS_NG_2,Gas,5,0.0
MONAHANS_NG_2,Gas,6,0.0
MONAHANS_NG_2,Gas,7,0.0
MONAHANS_NG_2,Gas,8,0.0
MONAHANS_NG_2,Gas,9,0.0
MONAHANS_NG_2,Gas,10,0.0
MONAHANS_NG_2,Gas,11,0.0
MONAHANS_NG_2,Gas,12,0.0
MONAHANS_NG_2,Gas,13,0.0
MONAHANS_NG_2,Gas,14,0.0
MONAHANS_NG_2,Gas,15,0.0
MONAHANS_NG_2,Gas,16,0.0
MONAHANS_NG_2,Gas,17,0.0
MONAHANS_NG_2,Gas,18,70.29235873357145
MONAHANS_NG_2,Gas,19,70.29235873357145
MONAHANS_NG_2,Gas,20,70.29235873357145
MONAHANS_NG_2,Gas,21,70.29235873357145
MONAHANS_NG_2,Gas,22,70.29235873357145
MONAHANS_NG_2,Gas,23,0.0
MONAHANS_NG_2,Gas,24,0.0
ODESSA_NG,Gas,1,0.0
ODESSA_NG,Gas,2,0.0
ODESSA_NG,Gas,3,0.0
